title,company,location,stipend,category,field,skills_detected
Recruitment Consultant,Hiringtude Global Services,Remote/NA,"₹ 6,000 - 9,000 /month",Human Resources,Business,Recruitment
Human Resources (HR),NexGen Innovators IT Services Private Limited,Remote/NA,"₹ 7,000 - 15,000 /month",Human Resources,Business,HR
Human Resources (HR),CandorWorks,Remote/NA,"₹ 14,999 - 15,000 /month",Human Resources,Business,HR
HR & Operations Manager,ArchScale Guild,Remote/NA,"₹ 6,000 - 11,000 /month",Human Resources,Business,HR
Human Resources (HR),Soulflower,Remote/NA,"₹ 11,000 - 15,000 /month",Human Resources,Business,HR
Human Resources (HR),Reinforcement Consultants,Remote/NA,"₹ 6,000 - 11,000 /month",Human Resources,Business,HR
Talent Acquisition,RSHCE Renu Sharma Health Care And Education Foundation,Remote/NA,Unpaid,Human Resources,Business,General
Human Resources (HR),Vetic,Remote/NA,"₹ 20,000 - 25,000 /month",Human Resources,Business,HR
Human Resources (HR),Demandlane,Remote/NA,"₹ 10,000 - 15,000 /month",Human Resources,Business,HR
Project Coordinator/Human Resources (HR),SAS Group,Remote/NA,"₹ 12,000 - 15,000 /month",Human Resources,Business,HR
Business Management,Cabswale,Remote/NA,"₹ 25,000 /month",Human Resources,Business,General
Internship Program Lead,Marshall Ridge Consulting Limited,Remote/NA,"₹ 1,000 - 1,001 /month",Human Resources,Business,General
Human Resources (HR),Honhr,Remote/NA,"₹ 5,000 /month",Human Resources,Business,HR
Accounting & Taxation,Bedi And Associates,Remote/NA,"₹ 3,500 - 6,500 /month",Finance,Business,Accounting
Accounting & Taxation,R NIWAS AGGARWAL AND CO,Remote/NA,"₹ 5,000 - 12,000 /month",Finance,Business,Accounting
Audit Assistant,Milind Nyati And Company,Remote/NA,"₹ 6,000 - 30,000 /month",Finance,Business,General
Accounting & Bookkeeping,K C Shah & Associates,Remote/NA,"₹ 7,000 - 10,000 /month",Finance,Business,Accounting
Accounting,CBS Ventures,Remote/NA,"₹ 3,000 - 6,000 /month",Finance,Business,Accounting
Accounting & Tally,CBS Ventures,Remote/NA,"₹ 3,000 - 6,000 /month",Finance,Business,Accounting
Operations,R.G.J.DASS,Remote/NA,"₹ 10,000 - 10,001 /month",Finance,Business,General
Accounting & Taxation,CBS Ventures,Remote/NA,"₹ 3,000 - 6,000 /month",Finance,Business,Accounting
Accounting & Bookkeeping,CBS Ventures,Remote/NA,"₹ 3,000 - 6,000 /month",Finance,Business,Accounting
Finance & Accounting,CBS Ventures,Remote/NA,"₹ 3,000 - 6,000 /month",Finance,Business,"Finance, Accounting"
Not found,Not found,Remote/NA,Not listed,Finance,Business,General
Global Volunteering Intern,AIESEC India,Remote/NA,Unpaid,Finance,Business,General
Global Talent Intern,AIESEC India,Remote/NA,Unpaid,Finance,Business,General
Business Strategy,VIZON,Remote/NA,"₹ 8,000 - 16,000 /month",Finance,Business,General
Inside Sales,Angel One (AP),Remote/NA,"₹ 2,000 - 20,000 /month",Finance,Business,Sales
Accounts,Pulse Pharmaceuticals,Remote/NA,"₹ 15,000 - 20,000 /month",Finance,Business,General
Finance,ZENFLOW FINANCE PRIVATE LIMITED,Remote/NA,"₹ 3,000 /month",Finance,Business,Finance
Tally Accountant,Expertbells Consulting Private Limited,Remote/NA,"₹ 5,000 - 20,000 /month",Finance,Business,General
Telecalling(Female Only),MYCASHFLOW,Remote/NA,"₹ 11,500 - 17,000 /month",Finance,Business,General
Chartered Accountancy (CA),Niviverse Technologies Private Limited,Remote/NA,"₹ 18,000 /month",Finance,Business,General
Accountant,EMIAC Technologies,Remote/NA,"₹ 8,000 - 10,000 /month",Finance,Business,General
Real Estate Tech Investments,HDFC Capital Advisors Limited,Remote/NA,"₹ 15,000 - 25,000 /month",Finance,Business,General
Content Creator,TG Levels Private Limited,Remote/NA,"₹ 5,000 - 8,000 /month",Finance,Business,General
Tally Accountant,Next Step Talents Private Limited,Remote/NA,"₹ 3,000 - 5,000 /month",Finance,Business,General
Accounting & Bookkeeping,Nutristar,Remote/NA,"₹ 8,000 - 10,000 /month",Finance,Business,Accounting
Accounting & Tally,ASFS LLP,Remote/NA,"₹ 10,000 - 15,000 /month",Finance,Business,Accounting
Stock Market Trainer - Female,Abhijeet  Ramachandrran,Remote/NA,"₹ 7,000 - 7,500 /month",Finance,Business,General
Research Analyst,TheCoinRepublic,Remote/NA,"₹ 8,000 - 10,000 /month",Finance,Business,Research
Accounting,Sudershan Paper Mart,Remote/NA,"₹ 10,000 - 20,000 /month",Finance,Business,Accounting
Chartered Accountancy (CA),Zoom Communications Private Limited,Remote/NA,"₹ 15,000 - 20,000 /month",Finance,Business,General
Founder’s Office (Strategy & Special Projects),RuralEquip PVT Ltd,Remote/NA,"₹ 6,000 - 22,000 /month",Finance,Business,General
Accounting & Taxation,OMNIDYA TECH LLP,Remote/NA,"₹ 11,000 - 20,000 /month",Finance,Business,Accounting
Accounting & Taxation,RD Electronics & Refrigeration,Remote/NA,"₹ 11,400 - 18,000 /month",Finance,Business,Accounting
Accounting & Bookkeeping,Morphdhome Solpro Private Limited,Remote/NA,"₹ 9,000 - 12,000 /month",Finance,Business,Accounting
Accounting & Bookkeeping,Swastik Steel Works,Remote/NA,"₹ 4,000 - 12,000 /month",Finance,Business,Accounting
Accounting & Bookkeeping,Bhuwan Grover,Remote/NA,"₹ 6,000 - 8,000 /month",Finance,Business,Accounting
Founder’s Office,Howl And Mane Production Private Limited,Remote/NA,"₹ 12,000 - 15,000 /month",Finance,Business,General
Financial Goal Planning,Big Banyan Financial Services,Remote/NA,"₹ 2,000 - 4,000 /month",Finance,Business,General
Equity Advisory (Walkin Drive Freshers Hiring),Elitebrokedge Securities,Remote/NA,"₹ 15,000 - 22,000 /month",Finance,Business,General
Accounts,AltRr Software Services Limited,Remote/NA,"₹ 8,000 - 10,000 /month",Finance,Business,General
Accounting,GEETIKASHARMA ASSOCIATES PRIVATE LIMITED,Remote/NA,"₹ 5,000 - 8,000 /month",Finance,Business,Accounting
Accounting & Taxation,Jaimil Shah,Remote/NA,"₹ 7,000 - 11,000 /month",Finance,Business,Accounting
CA Articleship,Xcelerate Business Advisory LLP,Remote/NA,"₹ 14,999 - 15,000 /month",Finance,Business,General
Auditing & Accounting,Madhu Mantri And Associates,Remote/NA,"₹ 4,500 /month",Finance,Business,Accounting
Accounting & Tally,MUKTI,Remote/NA,"₹ 2,000 - 3,000 /month",Finance,Business,Accounting
Sales and Marketing,Jodo,Remote/NA,"₹ 17,000 - 19,000 /month",Finance,Business,"Marketing, Sales"
Accounting & Taxation,Pankaj Bora Tax and Project Consultants,Remote/NA,"₹ 7,500 - 12,500 /month",Finance,Business,Accounting
Fundraising,Centre For Social And Behaviour Change Communication,Remote/NA,Unpaid,Finance,Business,General
Accounting & Bookkeeping,SHIVANI THACKER,Remote/NA,"₹ 7,500 - 15,000 /month",Finance,Business,Accounting
Accounting & Bookkeeping,Softel Technologies Incorporation,Remote/NA,"₹ 9,000 - 10,001 /month",Finance,Business,Accounting
Student Networking,Thinkedges Private Limited,Remote/NA,"₹ 3,000 - 15,000 /month",Sales,Business,General
Business Development (Sales),Weframe Tech,Remote/NA,"₹ 20,000 - 50,000 /month",Sales,Business,"Sales, Business Development"
Business Development Executive,Tradexa Technologies Private Limited,Remote/NA,"₹ 10,000 - 15,000 /month",Sales,Business,Business Development
Growth Marketing & E-commerce,Tradexa Technologies Private Limited,Remote/NA,"₹ 10,000 - 12,000 /month",Sales,Business,Marketing
Business Development (Sales),Doctors App,Remote/NA,"₹ 10,000 - 17,000 /month",Sales,Business,"Sales, Business Development"
Business Development (Sales),Erino,Remote/NA,"₹ 15,000 - 30,000 /month",Sales,Business,"Sales, Business Development"
Retail Merchant Onboarding (Field Operations) - Lucknow Location,Samaadhaan,Remote/NA,"₹ 12,000 - 15,000 /month",Sales,Business,General
Business Development,Pawzz,Remote/NA,"₹ 1,500 - 15,000 /month",Sales,Business,Business Development
Market Research,Fincrux Technologies,Remote/NA,"₹ 8,000 - 10,000 /month",Sales,Business,"Market Research, Research"
Sales Consultant,Pawzz,Remote/NA,"₹ 1,500 - 15,000 /month",Sales,Business,Sales
Not found,Not found,Remote/NA,Not listed,Sales,Business,General
Business Development (Sales),VNS Group,Remote/NA,"₹ 13,000 - 32,000 /month",Sales,Business,"Sales, Business Development"
Student Representative,Thinkedges Private Limited,Remote/NA,"₹ 3,000 - 12,000 /month",Sales,Business,General
Social Entrepreneurship,NayePankh Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Sales,Business,General
Volunteering,NayePankh Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Sales,Business,General
Sales and Outreach,Basti Ki Pathshala Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Sales,Business,Sales
Tele Fundraising,NayePankh Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Sales,Business,General
Business Development (Sales),Basti Ki Pathshala Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Sales,Business,"Sales, Business Development"
Business Development (Sales),Golden Apple Productions,Remote/NA,"₹ 5,500 - 25,000 /month",Sales,Business,"Sales, Business Development"
Business Development (Sales),Twocorex (OPC) Private Limited,Remote/NA,"₹ 10,000 - 20,000 /month",Sales,Business,"Sales, Business Development"
Business Development (South Indian),Copper Connections Limited,Remote/NA,"₹ 14,000 - 15,000 /month",Sales,Business,Business Development
Business Development (Sales),Viacom India LLP,Remote/NA,"₹ 7,000 - 10,000 /month",Sales,Business,"Sales, Business Development"
Sales,NoBroker Technologies Solutions Private Limited,Remote/NA,"₹ 8,000 - 20,000 /month",Sales,Business,Sales
Telecaller,Angel One (AP),Remote/NA,"₹ 2,000 - 10,000 /month",Sales,Business,General
Global Talent Intern,AIESEC India,Remote/NA,Unpaid,Sales,Business,General
Sales & Business Development,Reliance Entertainment,Remote/NA,"₹ 10,000 - 12,000 /month",Sales,Business,"Sales, Business Development"
Travel Consultant,TripIQ Holiday Marketplace,Remote/NA,"₹ 20,000 - 70,000 /month",Sales,Business,General
Sales and Marketing,Visual Eyes Films,Remote/NA,"₹ 5,000 - 15,000 /month",Sales,Business,"Marketing, Sales"
Sales Communication,Fashion TV India,Remote/NA,"₹ 10,000 - 15,000 /month",Sales,Business,Sales
Sales,Angel One (AP),Remote/NA,"₹ 2,000 - 20,000 /month",Sales,Business,Sales
Inside Sales,Angel One (AP),Remote/NA,"₹ 2,000 - 20,000 /month",Sales,Business,Sales
Business Development (Sales),Angel One (AP),Remote/NA,"₹ 2,000 - 20,000 /month",Sales,Business,"Sales, Business Development"
Business Development (Sales),Angel One (AP),Remote/NA,"₹ 2,000 - 10,000 /month",Sales,Business,"Sales, Business Development"
Sales Consultant,Aditya Birla Fashion & Retail Limited (ABFRL),Remote/NA,"₹ 15,001 /month",Sales,Business,Sales
Sales and Marketing,CaratLane Trading Private Limited,Remote/NA,"₹ 12,000 - 15,000 /month",Sales,Business,"Marketing, Sales"
Business Development (Sales),Shunya Digital,Remote/NA,"₹ 10,000 - 28,000 /month",Sales,Business,"Sales, Business Development"
Management Trainee - Student Tele-Counseling,AECC Global,Remote/NA,"₹ 15,000 /month",Sales,Business,General
Sales and Marketing,Paracoat Products Limited,Remote/NA,"₹ 10,000 /month",Sales,Business,"Marketing, Sales"
Real Estate Executive,Nisha Homes,Remote/NA,"₹ 15,000 - 40,000 /month",Sales,Business,General
Business Development (Sales),LingoAce,Remote/NA,"₹ 20,000 - 76,000 /month",Sales,Business,"Sales, Business Development"
Telecalling,AECC Global,Remote/NA,"₹ 15,000 /month",Sales,Business,General
Career Counsellor,Moople Institute Of Animation And Design,Remote/NA,"₹ 7,500 - 15,000 /month",Sales,Business,General
Export Sales & Marketing,Paracoat Products Limited,Remote/NA,"₹ 10,000 /month",Sales,Business,"Marketing, Sales"
Marketing,University Of Essex,Remote/NA,"₹ 25,000 /month",Sales,Business,Marketing
Global Volunteering Intern,"AIESEC India (Mumbai, India)",Remote/NA,Unpaid,Sales,Business,General
Client Acquisition,Angel One (AP),Remote/NA,"₹ 1,000 - 20,000 /month",Sales,Business,General
Business Development (Sales),Creative Mediapulse Technologies Private Limited (CMPTL),Remote/NA,"₹ 5,500 - 10,000 /month",Sales,Business,"Sales, Business Development"
Trainee – Customer Service Executive,Spencers Retail Limited,Remote/NA,"₹ 5,000 - 8,000 /month",Sales,Business,General
Trainee – Customer Service Executive,Spencers Retail Limited,Remote/NA,"₹ 5,000 - 6,000 /month",Sales,Business,General
Sales and Marketing,Fuel It Online,Remote/NA,"₹ 6,000 - 22,000 /month",Sales,Business,"Marketing, Sales"
Business Development (Sales),PracVerse Private Limited,Remote/NA,"₹ 10,001 - 30,001 /month",Sales,Business,"Sales, Business Development"
Business Development (Sales),Aspirants Stock Market Institute,Remote/NA,"₹ 9,000 - 12,000 /month",Sales,Business,"Sales, Business Development"
Corporate Sales & Marketing Executive,Flying Stocks Technologies,Remote/NA,"₹ 9,000 - 1,10,000 /month",Sales,Business,"Marketing, Sales"
Business Development (Sales),Gharpayy,Remote/NA,"₹ 7,000 - 10,000 /month",Sales,Business,"Sales, Business Development"
Business Development (Sales),RJPT Informatics,Remote/NA,"₹ 14,000 /month",Sales,Business,"Sales, Business Development"
Business Development (Sales),Bullvision Capital,Remote/NA,"₹ 8,000 /month",Sales,Business,"Sales, Business Development"
Business Development (Sales),Blismos Solutions Private Limited,Remote/NA,"₹ 15,000 - 20,001 /month",Sales,Business,"Sales, Business Development"
Business Development (Sales),Oceana Positive,Remote/NA,"₹ 8,000 - 10,000 /month",Sales,Business,"Sales, Business Development"
E-commerce Executive,Rbsorting Hat Private Limited,Remote/NA,"₹ 10,000 /month",Sales,Business,General
Business Development (Sales),Arhant Solutions,Remote/NA,"₹ 3,000 - 10,000 /month",Sales,Business,"Sales, Business Development"
Lead Generation,Material Intelligence Lab,Remote/NA,"₹ 15,000 - 20,000 /month",Sales,Business,General
Graphic Design,Zaggle Media,Remote/NA,"₹ 15,000 - 16,000 /month",Graphic Design,Creative,Graphic Design
Creative Design,SACOM INNOVATIONS AND TECHNOLOGIES PRIVATE LIMITED,Remote/NA,"₹ 10,000 - 15,000 /month",Graphic Design,Creative,General
Content Creator,TRISKN,Remote/NA,"₹ 10,000 - 25,000 /month",Graphic Design,Creative,General
Creative Designer,TRISKN,Remote/NA,"₹ 10,000 - 25,000 /month",Graphic Design,Creative,General
Senior Graphic Designer,Bigwizz Creatives,Remote/NA,"₹ 8,000 - 10,000 /month",Graphic Design,Creative,General
Jewellery Design And Production Intern,Mrinmai Arun,Remote/NA,"₹ 6,000 - 12,000 /month",Graphic Design,Creative,General
Graphic Design,Relomi Corporate Services LLP,Remote/NA,"₹ 10,000 - 15,000 /month",Graphic Design,Creative,Graphic Design
Junior Art Associate,Athul Prasad,Remote/NA,"₹ 4,000 - 7,500 /month",Graphic Design,Creative,General
Digital Content & Web Design,Cipla,Remote/NA,"₹ 25,000 - 50,000 /month",Graphic Design,Creative,General
Graphic Design,American Hairline,Remote/NA,"₹ 3,000 - 10,000 /month",Graphic Design,Creative,Graphic Design
Not found,Not found,Remote/NA,Not listed,Graphic Design,Creative,General
E-commerce Marketing,NEERA TECHNOLOGIES PRIVATE LIMITED,Remote/NA,"₹ 6,000 - 8,000 /month",Graphic Design,Creative,Marketing
Graphic Design,VIZON,Remote/NA,"₹ 10,500 - 20,000 /month",Graphic Design,Creative,Graphic Design
Animation,VIZON,Remote/NA,"₹ 14,000 - 26,000 /month",Graphic Design,Creative,Animation
Graphic Design,Europ Assistance,Remote/NA,"₹ 7,000 - 15,000 /month",Graphic Design,Creative,Graphic Design
Graphic Design,Angel One Limited,Remote/NA,"₹ 10,000 - 15,000 /month",Graphic Design,Creative,Graphic Design
Graphic Design,Epic,Remote/NA,"₹ 5,000 - 10,000 /month",Graphic Design,Creative,Graphic Design
Graphic Design,Cricket Academy of Pathans,Remote/NA,"₹ 8,000 - 10,000 /month",Graphic Design,Creative,Graphic Design
Graphic Design,Paracoat Products Limited,Remote/NA,"₹ 10,000 /month",Graphic Design,Creative,Graphic Design
Career Counsellor,Moople Institute Of Animation And Design,Remote/NA,"₹ 7,500 - 15,000 /month",Graphic Design,Creative,General
Creative Design,Candy Toy Corporate Private Limited,Remote/NA,"₹ 2,000 - 2,500 /month",Graphic Design,Creative,General
Design & Marketing,CBAI Technologies Private Limited,Remote/NA,"₹ 20,000 - 25,000 /month",Graphic Design,Creative,Marketing
Social Media - TV Shows,DR Sports Management LLP,Remote/NA,"₹ 10,000 /month",Graphic Design,Creative,Social Media
1 Week Virtual Crowdfunding Drive V2.0,Devasya Welfare Foundation,Remote/NA,"₹ 1,500 - 7,500 lump sum",Graphic Design,Creative,General
Graphic Design,Next Step Talents Private Limited,Remote/NA,"₹ 3,000 - 5,000 /month",Graphic Design,Creative,Graphic Design
Content and Social Media Marketing,Regale Gifts,Remote/NA,"₹ 9,000 - 12,000 /month",Graphic Design,Creative,"Marketing, Social Media"
Graphic Design,Turn Turtle,Remote/NA,"₹ 10,000 - 15,000 /month",Graphic Design,Creative,Graphic Design
Graphic Design,Perch,Remote/NA,"₹ 10,000 - 15,000 /month",Graphic Design,Creative,Graphic Design
AI Video/Image Generator/Editor,360 Digital Idea,Remote/NA,"₹ 3,001 - 5,002 /month",Graphic Design,Creative,AI
Graphic Design,International Institute Of Data Science & Technology,Remote/NA,"₹ 10,000 - 20,000 /month",Graphic Design,Creative,Graphic Design
Graphic Design,TechXR Innovations Private Limited,Remote/NA,"₹ 15,000 - 18,000 /month",Graphic Design,Creative,Graphic Design
Graphic And Product Designer (3 Months - Contract),Janapada Udayan Welfare Foundation,Remote/NA,"₹ 12,000 - 15,000 /month",Graphic Design,Creative,General
Graphic Design,Enpointe,Remote/NA,"₹ 10,001 - 12,002 /month",Graphic Design,Creative,Graphic Design
Graphic Design,Pratap Polysacks Limited,Remote/NA,"₹ 6,000 - 8,000 /month",Graphic Design,Creative,Graphic Design
Graphic Design,ViralChilly,Remote/NA,"₹ 6,000 - 8,000 /month",Graphic Design,Creative,Graphic Design
Graphic Design,Digital Heroes,Remote/NA,"₹ 20,000 - 25,000 /month",Graphic Design,Creative,Graphic Design
Creative Design,PadosiAgent ServTech Pvt Ltd,Remote/NA,"₹ 5,000 - 8,000 /month",Graphic Design,Creative,General
Content and Social Media Marketing,Game Changers TexFab Private Limited,Remote/NA,"₹ 10,000 - 15,000 /month",Graphic Design,Creative,"Marketing, Social Media"
Graphics And Video Editing,Cocoma Digital Private Limited,Remote/NA,"₹ 8,000 - 10,000 /month",Graphic Design,Creative,Video Editing
Social Media And Content Creation,Pilgrim,Remote/NA,"₹ 10,000 - 12,000 /month",Graphic Design,Creative,Social Media
Digital Illustrator,Internshala,Remote/NA,"₹ 18,000 /month",Graphic Design,Creative,Illustrator
Graphic Design,Cocoma Digital Private Limited,Remote/NA,"₹ 10,000 - 15,000 /month",Graphic Design,Creative,Graphic Design
Graphic Design,Eka Studio By Sana,Remote/NA,"₹ 11,000 - 17,000 /month",Graphic Design,Creative,Graphic Design
UI/UX Design,Ace 360,Remote/NA,"₹ 5,000 - 10,000 /month",Graphic Design,Creative,"UI, UX"
Graphic Design,EMIAC Technologies,Remote/NA,"₹ 5,000 - 7,000 /month",Graphic Design,Creative,Graphic Design
Digital Marketing,DigiSwarm,Remote/NA,"₹ 2,000 - 5,000 /month",Graphic Design,Creative,Marketing
Graphic Design,The Mainstreet Marketplace,Remote/NA,"₹ 10,000 - 12,000 /month",Graphic Design,Creative,Graphic Design
Motion Graphics,Magblack,Remote/NA,"₹ 9,000 - 17,000 /month",Graphic Design,Creative,General
Graphic Design,Break The Code,Remote/NA,"₹ 5,000 - 7,000 /month",Graphic Design,Creative,Graphic Design
Photo Editor,Beats In The Moment,Remote/NA,"₹ 8,000 - 13,000 /month",Graphic Design,Creative,General
Fashion Design,Tomorrowland Apparels Private Limited,Remote/NA,"₹ 9,000 - 10,000 /month",Graphic Design,Creative,General
Digital Marketing,Inorbvict Healthcare India Private Limited,Remote/NA,"₹ 6,000 - 6,001 /month",Graphic Design,Creative,Marketing
Student Networking,Thinkedges Private Limited,Remote/NA,"₹ 3,000 - 15,000 /month",Content Writing,Creative,General
Digital Marketing,Pawzz,Remote/NA,"₹ 1,500 - 15,000 /month",Content Writing,Creative,Marketing
Content Creator,TRISKN,Remote/NA,"₹ 10,000 - 25,000 /month",Content Writing,Creative,General
Growth Marketing & E-commerce,Tradexa Technologies Private Limited,Remote/NA,"₹ 10,000 - 12,000 /month",Content Writing,Creative,Marketing
Social Media Marketing,TRISKN,Remote/NA,"₹ 10,000 - 25,000 /month",Content Writing,Creative,"Marketing, Social Media"
Media And PR Management,TRISKN,Remote/NA,"₹ 10,000 - 25,000 /month",Content Writing,Creative,General
Content and Social Media Marketing,Vvibe,Remote/NA,"₹ 10,000 - 15,000 /month",Content Writing,Creative,"Marketing, Social Media"
Content and Social Media Marketing,Tattva Gems,Remote/NA,"₹ 12,000 - 20,000 /month",Content Writing,Creative,"Marketing, Social Media"
Brand Partnerships,TRISKN,Remote/NA,"₹ 10,000 - 25,000 /month",Content Writing,Creative,General
Content and Social Media Marketing,Studio LSD Limited,Remote/NA,"₹ 5,000 - 7,000 /month",Content Writing,Creative,"Marketing, Social Media"
Not found,Not found,Remote/NA,Not listed,Content Writing,Creative,General
AI Content Writing,InAmigos Foundation,Remote/NA,"₹ 3,500 - 5,000 /month",Content Writing,Creative,"Content Writing, AI"
Content Writing,InAmigos Foundation,Remote/NA,"₹ 4,500 - 6,500 /month",Content Writing,Creative,Content Writing
Student Representative,Thinkedges Private Limited,Remote/NA,"₹ 3,000 - 12,000 /month",Content Writing,Creative,General
Social Entrepreneurship,NayePankh Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Content Writing,Creative,General
AI Blog Writing,InAmigos Foundation,Remote/NA,"₹ 4,000 - 6,500 /month",Content Writing,Creative,AI
Sales and Outreach,Basti Ki Pathshala Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Content Writing,Creative,Sales
Content and Social Media Marketing,Codeacious Technologies Private Limited,Remote/NA,"₹ 7,000 - 10,000 /month",Content Writing,Creative,"Marketing, Social Media"
Content Writing,ViralChilly,Remote/NA,"₹ 5,000 - 6,000 /month",Content Writing,Creative,Content Writing
Aide Supervisor,Pawzz,Remote/NA,"₹ 1,500 - 15,000 /month",Content Writing,Creative,General
Social Media & Content Manager,Bizzaro,Remote/NA,"₹ 10,000 - 15,000 /month",Content Writing,Creative,Social Media
Global Volunteering Intern,AIESEC India,Remote/NA,Unpaid,Content Writing,Creative,General
Curriculum Developer - English/EVS/History/Hindi,Ampersand Group: Vibgyor Group Of Schools,Remote/NA,"₹ 15,000 - 20,000 /month",Content Writing,Creative,General
Assistance Director (Video Ads & TV Advertising),Viacom India LLP,Remote/NA,"₹ 5,000 - 7,000 /month",Content Writing,Creative,General
Social Media Marketing,T C INDIA,Remote/NA,"₹ 7,000 - 10,000 /month",Content Writing,Creative,"Marketing, Social Media"
Search Engine Optimization (SEO),Shunya Digital,Remote/NA,"₹ 3,500 - 5,001 /month",Content Writing,Creative,SEO
Social Media Marketing,Imarticus Learning Private Limited,Remote/NA,"₹ 12,000 - 15,000 /month",Content Writing,Creative,"Marketing, Social Media"
Community Management,CK Birla Healthcare Private Limited,Remote/NA,"₹ 18,000 - 20,000 /month",Content Writing,Creative,General
B. Pharmacy,Pulse Pharmaceuticals,Remote/NA,"₹ 15,000 - 20,000 /month",Content Writing,Creative,General
Digital Marketing,Susa Nuts Private Limited,Remote/NA,"₹ 8,000 - 14,000 /month",Content Writing,Creative,Marketing
Social Media Marketing,Visual Eyes Films,Remote/NA,"₹ 5,000 - 15,000 /month",Content Writing,Creative,"Marketing, Social Media"
Content Writing,Katalyst Software Services Limited,Remote/NA,"₹ 7,000 - 1,00,001 /month",Content Writing,Creative,Content Writing
Digital Marketing,SysTools Software Private Limited,Remote/NA,"₹ 5,000 - 10,000 /month",Content Writing,Creative,Marketing
Marketing,FPT Industrial ( CNH Industrial),Remote/NA,"₹ 4,000 - 7,000 /month",Content Writing,Creative,Marketing
Financial Research & Content Writing (NBFC Sector),Shunya Digital,Remote/NA,"₹ 1,000 - 3,000 /month",Content Writing,Creative,"Content Writing, Research"
Content Research,TEDxGateway,Remote/NA,"₹ 8,000 - 10,000 /month",Content Writing,Creative,Research
Digital Marketing,KG Invicta Services,Remote/NA,"₹ 2,000 - 5,000 /month",Content Writing,Creative,Marketing
Social Media Marketing,Persistent Networks Private Limited,Remote/NA,"₹ 3,000 - 6,000 /month",Content Writing,Creative,"Marketing, Social Media"
Digital Marketing,Audi Mumbai West,Remote/NA,"₹ 15,000 /month",Content Writing,Creative,Marketing
Social Media Marketing,Permeshwar Fashion Impex,Remote/NA,"₹ 10,000 - 15,000 /month",Content Writing,Creative,"Marketing, Social Media"
Digital Marketing,Pulse Pharmaceuticals,Remote/NA,"₹ 15,000 - 20,000 /month",Content Writing,Creative,Marketing
Marketing,Invensis Technologies,Remote/NA,"₹ 10,000 - 15,000 /month",Content Writing,Creative,Marketing
Subject Matter Expert (SME) Maths,Arihant Publications,Remote/NA,"₹ 10,000 - 12,000 /month",Content Writing,Creative,General
"Subject Matter Expert (SME) – Science: Physics, Chemistry, And Biology",Arihant Publications,Remote/NA,"₹ 8,000 - 12,000 /month",Content Writing,Creative,General
Subject Matter Expert (SME) – Social Studies: History And Geography,Arihant Publications,Remote/NA,"₹ 10,000 - 12,000 /month",Content Writing,Creative,General
Subject Matter Expert (SME) - Hindi,Arihant Publications,Remote/NA,"₹ 10,000 - 12,000 /month",Content Writing,Creative,General
Global Volunteering Intern,"AIESEC India (Mumbai, India)",Remote/NA,Unpaid,Content Writing,Creative,General
Content and Social Media Marketing,Butterfly Learnings,Remote/NA,"₹ 5,000 - 8,000 /month",Content Writing,Creative,"Marketing, Social Media"
Social Media Marketing,Cannibals Media Pvt. Ltd.,Remote/NA,"₹ 4,000 /month",Content Writing,Creative,"Marketing, Social Media"
Social Media Marketing,Tarashastra,Remote/NA,"₹ 5,000 - 6,000 /month",Content Writing,Creative,"Marketing, Social Media"
Social Media Marketing,The Wellness Shop,Remote/NA,"₹ 7,000 - 10,000 /month",Content Writing,Creative,"Marketing, Social Media"
Resource Development,Pawzz,Remote/NA,"₹ 1,500 - 15,000 /month",Content Writing,Creative,General
Digital Marketing,Allo Innoware,Remote/NA,"₹ 7,000 - 10,000 /month",Content Writing,Creative,Marketing
Content Writing,Digilligent Marketing X Tech Solutions Private Limited,Remote/NA,"₹ 10,000 - 15,000 /month",Content Writing,Creative,Content Writing
Digital Marketing,Next Step Talents Private Limited,Remote/NA,"₹ 13,000 - 25,000 /month",Content Writing,Creative,Marketing
Content and Social Media Marketing,Regale Gifts,Remote/NA,"₹ 9,000 - 12,000 /month",Content Writing,Creative,"Marketing, Social Media"
Influencer Marketing,Career-Domain,Remote/NA,"₹ 5,000 /month",Content Writing,Creative,Marketing
Social Media Marketing,Career-Domain,Remote/NA,"₹ 5,000 /month",Content Writing,Creative,"Marketing, Social Media"
Influencer Marketing,360 Digital Idea,Remote/NA,"₹ 3,001 - 5,002 /month",Content Writing,Creative,Marketing
Social Media Marketing,Health Total By Anjali Mukerjee,Remote/NA,"₹ 10,000 - 15,000 /month",Content Writing,Creative,"Marketing, Social Media"
Screenplay Development,P Se Picture,Remote/NA,"₹ 15,000 - 20,000 /month",Content Writing,Creative,General
Video Editing/Making,Skyward Products,Remote/NA,"₹ 10,000 /month",Video Editing,Creative,Video Editing
Video Editing/Making,Dibiz Solutions,Remote/NA,"₹ 15,000 - 20,000 /month",Video Editing,Creative,Video Editing
Motion Graphics,Pentableu,Remote/NA,"₹ 10,000 - 12,000 /month",Video Editing,Creative,General
